cbsa_code,cbsa_name,total_count,pubHS_count,privHS_count,cc_count,other_count
35620,"New York-Newark-Jersey City, NY-NJ-PA",441,362,46,17,16
25540,"Hartford-West Hartford-East Hartford, CT",43,36,6,0,1
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",40,27,10,0,3
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38,34,1,0,3
14460,"Boston-Cambridge-Newton, MA-NH",34,29,3,0,2
14860,"Bridgeport-Stamford-Norwalk, CT",31,25,3,0,3
35300,"New Haven-Milford, CT",27,22,4,0,1
12580,"Baltimore-Columbia-Towson, MD",25,20,3,2,0
45300,"Tampa-St. Petersburg-Clearwater, FL",10,5,4,0,1
49340,"Worcester, MA-CT",9,7,2,0,0
35980,"Norwich-New London, CT",9,8,1,0,0
45860,"Torrington, CT",7,6,1,0,0
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",4,1,2,0,1
20700,"East Stroudsburg, PA",4,4,0,0,0
41540,"Salisbury, MD-DE",4,4,0,0,0
20100,"Dover, DE",4,4,0,0,0
28740,"Kingston, NY",3,3,0,0,0
45940,"Trenton, NJ",3,3,0,0,0
39300,"Providence-Warwick, RI-MA",2,0,0,0,2
44140,"Springfield, MA",2,1,0,0,1
10900,"Allentown-Bethlehem-Easton, PA-NJ",2,2,0,0,0
12060,"Atlanta-Sandy Springs-Roswell, GA",1,0,0,0,1
37340,"Palm Bay-Melbourne-Titusville, FL",1,1,0,0,0
29460,"Lakeland-Winter Haven, FL",1,1,0,0,0
26460,"Hudson, NY",1,1,0,0,0
