cbsa_code,cbsa_name,total_count,pubHS_count,privHS_count,cc_count,other_count
19100,"Dallas-Fort Worth-Arlington, TX",203,142,48,1,12
16980,"Chicago-Naperville-Elgin, IL-IN-WI",59,40,6,6,7
30780,"Little Rock-North Little Rock-Conway, AR",50,25,12,2,11
26420,"Houston-The Woodlands-Sugar Land, TX",45,25,14,0,6
46140,"Tulsa, OK",40,22,11,0,7
28140,"Kansas City, MO-KS",40,31,8,0,1
19740,"Denver-Aurora-Lakewood, CO",35,33,2,0,0
36420,"Oklahoma City, OK",34,20,9,2,3
22220,"Fayetteville-Springdale-Rogers, AR-MO",33,27,4,0,2
41180,"St. Louis, MO-IL",30,13,10,2,5
31080,"Los Angeles-Long Beach-Anaheim, CA",30,14,11,1,4
12420,"Austin-Round Rock, TX",29,24,4,0,1
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",26,5,18,0,3
32820,"Memphis, TN-MS-AR",23,3,12,0,8
35380,"New Orleans-Metairie, LA",21,3,17,0,1
22900,"Fort Smith, AR-OK",18,13,0,2,3
12060,"Atlanta-Sandy Springs-Roswell, GA",17,5,5,0,7
27860,"Jonesboro, AR",14,10,0,0,4
43340,"Shreveport-Bossier City, LA",14,8,3,1,2
40780,"Russellville, AR",12,10,0,0,2
38220,"Pine Bluff, AR",11,8,0,1,2
44180,"Springfield, MO",10,8,2,0,0
47380,"Waco, TX",10,6,3,0,1
46340,"Tyler, TX",10,5,3,0,2
42620,"Searcy, AR",9,6,1,1,1
25760,"Helena-West Helena, AR",9,5,1,1,2
41740,"San Diego-Carlsbad, CA",9,6,2,0,1
31680,"Malvern, AR",8,4,0,2,2
27900,"Joplin, MO",8,4,1,0,3
33740,"Monroe, LA",7,4,2,0,1
26300,"Hot Springs, AR",7,2,0,2,3
45500,"Texarkana, TX-AR",7,6,0,1,0
14180,"Blytheville, AR",7,6,0,1,0
48660,"Wichita Falls, TX",6,6,0,0,0
37500,"Paragould, AR",6,3,0,0,3
22620,"Forrest City, AR",5,5,0,0,0
43300,"Sherman-Denison, TX",5,5,0,0,0
45140,"Tahlequah, OK",5,3,0,0,2
12900,"Batesville, AR",5,4,0,1,0
17820,"Colorado Springs, CO",5,4,1,0,0
26260,Unknown,4,2,0,2,0
48620,"Wichita, KS",4,0,3,0,1
41700,"San Antonio-New Braunfels, TX",4,3,0,0,1
34780,"Muskogee, OK",4,3,0,0,1
14700,"Branson, MO",4,4,0,0,0
25460,"Harrison, AR",4,3,0,1,0
20980,"El Dorado, AR",3,1,0,1,1
14500,"Boulder, CO",3,3,0,0,0
30980,"Longview, TX",3,0,1,0,2
13820,"Birmingham-Hoover, AL",3,0,2,0,1
22660,"Fort Collins, CO",3,3,0,0,0
27140,"Jackson, MS",3,0,2,0,1
15780,"Camden, AR",2,1,0,1,0
16060,"Carbondale-Marion, IL",2,0,0,0,2
23620,"Gainesville, TX",2,2,0,0,0
32220,"Marshall, TX",2,0,1,0,1
31620,"Magnolia, AR",2,1,0,0,1
34260,"Mountain Home, AR",2,2,0,0,0
11660,"Arkadelphia, AR",2,2,0,0,0
30020,"Lawton, OK",2,0,0,0,2
37100,"Oxnard-Thousand Oaks-Ventura, CA",2,2,0,0,0
45820,"Topeka, KS",1,0,1,0,0
12940,"Baton Rouge, LA",1,0,0,0,1
18620,"Corsicana, TX",1,1,0,0,0
11620,"Ardmore, OK",1,0,0,0,1
38620,"Ponca City, OK",1,1,0,0,0
21420,"Enid, OK",1,1,0,0,0
28660,"Killeen-Temple, TX",1,0,0,0,1
40420,"Rockford, IL",1,0,0,1,0
33060,"Miami, OK",1,1,0,0,0
43060,"Shawnee, OK",1,0,0,0,1
22820,"Fort Morgan, CO",1,1,0,0,0
24540,"Greeley, CO",1,1,0,0,0
15140,Unknown,1,0,1,0,0
44100,"Springfield, IL",1,1,0,0,0
32540,"McAlester, OK",1,1,0,0,0
10220,"Ada, OK",1,0,0,0,1
20460,"Durant, OK",1,0,0,0,1
17860,"Columbia, MO",1,0,0,0,1
27380,"Jacksonville, TX",1,1,0,0,0
34860,"Nacogdoches, TX",1,1,0,0,0
