cbsa_code,cbsa_name,total_count,pubHS_count,privHS_count,cc_count,other_count
31080,"Los Angeles-Long Beach-Anaheim, CA",132,69,12,37,14
41860,"San Francisco-Oakland-Hayward, CA",121,76,12,22,11
40140,"Riverside-San Bernardino-Ontario, CA",49,26,0,13,10
40900,"Sacramento--Roseville--Arden-Arcade, CA",40,27,2,6,5
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",40,24,11,0,5
41940,"San Jose-Sunnyvale-Santa Clara, CA",33,17,3,4,9
12060,"Atlanta-Sandy Springs-Roswell, GA",28,15,10,0,3
16980,"Chicago-Naperville-Elgin, IL-IN-WI",22,15,4,0,3
42220,"Santa Rosa, CA",22,15,4,3,0
35620,"New York-Newark-Jersey City, NY-NJ-PA",21,12,6,1,2
38060,"Phoenix-Mesa-Scottsdale, AZ",18,9,5,0,4
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",17,7,8,0,2
46700,"Vallejo-Fairfield, CA",15,10,3,2,0
39580,"Raleigh, NC",15,8,6,0,1
29820,"Las Vegas-Henderson-Paradise, NV",14,6,3,0,5
41740,"San Diego-Carlsbad, CA",14,0,1,8,5
41500,"Salinas, CA",14,10,1,3,0
16740,"Charlotte-Concord-Gastonia, NC-SC",13,4,7,0,2
20500,"Durham-Chapel Hill, NC",13,8,4,0,1
42660,"Seattle-Tacoma-Bellevue, WA",12,7,1,0,4
28140,"Kansas City, MO-KS",11,5,3,0,3
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",10,6,1,0,3
19100,"Dallas-Fort Worth-Arlington, TX",10,2,5,0,3
32820,"Memphis, TN-MS-AR",9,2,4,0,3
36740,"Orlando-Kissimmee-Sanford, FL",9,5,3,0,1
34900,"Napa, CA",8,4,3,1,0
42200,"Santa Maria-Santa Barbara, CA",8,5,0,3,0
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",8,3,4,0,1
37100,"Oxnard-Thousand Oaks-Ventura, CA",8,8,0,0,0
19820,"Detroit-Warren-Dearborn, MI",7,4,1,0,2
49180,"Winston-Salem, NC",7,1,5,0,1
12580,"Baltimore-Columbia-Towson, MD",7,4,2,0,1
41180,"St. Louis, MO-IL",7,5,2,0,0
12420,"Austin-Round Rock, TX",7,4,3,0,0
10740,"Albuquerque, NM",7,4,2,0,1
18140,"Columbus, OH",6,3,1,0,2
12540,"Bakersfield, CA",6,0,0,4,2
33700,"Modesto, CA",6,5,0,0,1
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",6,2,0,3,1
24660,"Greensboro-High Point, NC",6,0,4,0,2
40060,"Richmond, VA",6,3,3,0,0
23420,"Fresno, CA",5,2,0,2,1
42100,"Santa Cruz-Watsonville, CA",5,4,0,1,0
39900,"Reno, NV",5,2,2,0,1
38300,"Pittsburgh, PA",4,1,1,0,2
47300,"Visalia-Porterville, CA",4,0,0,3,1
42340,"Savannah, GA",4,0,3,0,1
48900,"Wilmington, NC",4,2,1,0,1
24860,"Greenville-Anderson-Mauldin, SC",4,0,2,0,2
27260,"Jacksonville, FL",4,2,2,0,0
27140,"Jackson, MS",4,1,3,0,0
16700,"Charleston-North Charleston, SC",4,2,2,0,0
17900,"Columbia, SC",4,2,2,0,0
44700,"Stockton-Lodi, CA",3,2,0,0,1
30780,"Little Rock-North Little Rock-Conway, AR",3,0,0,0,3
45940,"Trenton, NJ",3,2,1,0,0
38900,"Portland-Vancouver-Hillsboro, OR-WA",3,0,0,0,3
17020,"Chico, CA",3,1,0,2,0
19740,"Denver-Aurora-Lakewood, CO",3,0,0,0,3
45300,"Tampa-St. Petersburg-Clearwater, FL",3,1,2,0,0
