cbsa_code,cbsa_name,total_count,pubHS_count,privHS_count,cc_count,other_count
16980,"Chicago-Naperville-Elgin, IL-IN-WI",233,146,20,49,18
41180,"St. Louis, MO-IL",90,62,9,6,13
16060,"Carbondale-Marion, IL",20,12,0,8,0
37900,"Peoria, IL",17,13,1,2,1
26900,"Indianapolis-Carmel-Anderson, IN",12,8,0,0,4
44100,"Springfield, IL",12,11,1,0,0
19340,"Davenport-Moline-Rock Island, IA-IL",11,9,0,0,2
16580,"Champaign-Urbana, IL",10,8,1,0,1
14010,"Bloomington, IL",8,5,1,1,1
16020,"Cape Girardeau, MO-IL",7,3,2,0,2
28100,"Kankakee, IL",7,4,0,3,0
36860,"Ottawa-Peru, IL",7,5,0,2,0
23660,"Galesburg, IL",7,4,0,3,0
16660,"Charleston-Mattoon, IL",6,4,0,0,2
19500,"Decatur, IL",5,4,0,1,0
20820,"Effingham, IL",5,3,1,0,1
37140,"Paducah, KY-IL",5,4,0,0,1
16460,"Centralia, IL",5,2,0,2,1
36980,"Owensboro, KY",5,3,1,0,1
40420,"Rockford, IL",4,1,0,3,0
34500,"Mount Vernon, IL",4,3,0,0,1
27300,"Jacksonville, IL",2,2,0,0,0
44580,"Sterling, IL",2,2,0,0,0
15900,"Canton, IL",2,1,0,1,0
21780,"Evansville, IN-KY",2,0,0,0,2
23300,"Freeport, IL",2,0,0,2,0
19940,"Dixon, IL",2,0,0,2,0
43460,"Sikeston, MO",2,2,0,0,0
45460,"Terre Haute, IN",2,0,0,0,2
19180,"Danville, IL",2,1,0,1,0
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",2,1,0,0,1
17540,"Clinton, IA",1,0,0,0,1
30660,"Lincoln, IL",1,1,0,0,0
45380,"Taylorville, IL",1,1,0,0,0
34700,"Muscatine, IA",1,0,0,0,1
39500,"Quincy, IL-MO",1,0,0,1,0
14020,"Bloomington, IN",1,1,0,0,0
18820,"Crawfordsville, IN",1,1,0,0,0
38700,"Pontiac, IL",1,1,0,0,0
